Blog Title,Primary Keyword,Search Volume,KD Score,Search Intent,Author,Publish Date,Day 30 Impressions,Day 30 Clicks,Day 30 Avg Position,Estimated Monthly Traffic,Estimated Leads (2% conv),Actual Leads,SEO Score (0-100),Competitor Rank,Expected vs Actual,Notes
"How to Monitor TLS Certificates: Complete 2025 Guide","Monitor TLS certificates",420,28,tutorial,"Jane Smith",2025-05-06,1200,54,5,80,2,2,72,5,"On target","Strong E-A-T signals. Good featured snippet potential."
"Best SSL Monitoring Tools 2025: Comparison","Best SSL monitoring tools",800,45,comparison,"Jane Smith",2025-05-13,1800,81,4,95,2,3,75,4,"Beating estimate","#2 for main keyword. Consider PPC to steal #1."
"OpenSSL Certificate Management: Step-by-Step","OpenSSL certificate expiry",150,15,tutorial,"Bob Johnson",2025-05-20,450,18,7,45,1,1,68,7,"Below estimate","Low volume. Rank position hurt. Consider consolidating with main post."
"Pingdom Alternative: 24Observe Monitoring","Pingdom alternative",600,42,comparison,"Jane Smith",2025-06-03,1100,44,6,65,1,1,70,6,"Underperforming","Weak original research. Rewrite with case study."
"Datadog vs 24Observe: Full Cost Breakdown","Datadog alternative monitoring",450,50,comparison,"Bob Johnson",2025-06-10,800,32,8,40,1,0,64,8,"Below estimate","Position 8 is too low. Needs more backlinks or rewrite."
"Automating SSL Certificate Renewal with ACME","ACME certificate automation",280,25,tutorial,"Jane Smith",2025-06-17,900,45,4,110,2,2,78,4,"Beating estimate","Excellent execution. Consider publishing similar tutorials."
,,,,,,,,,,,,,,,"CLUSTER TOTALS:",
,,"Total Volume: 2,700","Avg KD: 34",,"","",5450,274,,435,9,9,"Average: 71","","","Total 6-post cluster = 435/mo traffic + 9 leads/mo"
,,"","",,"",,,,,,,,,"","", 
"SECOND CLUSTER: Incident Management",,,,,,,,,,,,,,"",""
"What is Incident Management?","incident management definition",1200,35,definition,"Jane Smith",2025-07-01,2200,132,3,200,4,4,82,3,"Beating estimate","Strong pillar. Links to all cluster posts."
"Incident Response Plan Template 2025","incident response plan",420,22,tutorial,"Bob Johnson",2025-07-08,1100,55,5,80,2,2,75,5,"On target","Simple template. High engagement."
"On-Call Scheduling for SREs: Best Practices","on-call scheduling practices",280,20,tutorial,"Jane Smith",2025-07-15,750,30,6,55,1,1,72,6,"Right estimate","Solid content. Drive internal links from main post."
"Alert Fatigue: How to Reduce False Positives","alert fatigue reduction",350,30,how-to,"Bob Johnson",2025-07-22,900,36,7,50,1,1,69,7,"Below estimate - volume issue. Rebase on 'how to reduce alerts' (higher volume)."
,"","Total Volume: 2,250","Avg KD: 27",,"","",4950,253,,385,8,8,"Average: 75","","","Total 4-post cluster (so far) = 385/mo traffic + 8 leads/mo"
,,,,,,,,,,,,,,,"","","
"SINGLE POSTS (NOT CLUSTERED)",,,,,,,,,,,,,,"",""
"5 Signs Your Monitoring Tool is Failing","monitoring tool signs",120,18,problem-solving,"Jane Smith",2025-04-01,300,15,12,10,0,0,58,12,"Underperforming","Position 12 = no visibility. Low volume. Should have been clustered."
"Why We Built 24Observe","24observe story",80,5,informational,"CEO",2025-04-15,400,80,3,15,1,2,65,3,"Good CTR","Brand term. Not a ranking keyword. Good for trust-building though."
,,,,,,,,,,,,,,,"","","
,,"MASTER AGGREGATE",,,,,,"","","","","","","","",""
,,,"Total Blog Posts: 11",,"","","","","Total Tracked Traffic: 1,230/mo","","Total Tracked Leads: 27/mo","Average SEO Score: 71","","","
,,,"Avg Post Traffic: 112/mo",,"","","","","Cluster Posts: 10 (92% of traffic)","","Single Posts: 1 (8% of traffic)","","","","INSIGHT: Clusters work. Stop writing random posts."
,,,"Content Age: 2.5 months",,"","","","","","","Expected 90-day result: 2,100 visitors + 45 leads","","",""
,,"","","","","","","","","","","","","IN PROGRESS / FUTURE:"
,,"","","","","","","","","","","","","Next Publish: Incident Management post #5 (7/29)"
,,"","","","","","","","","","","","","Target: 12-post blog library by end Q3"
,,"","","","","","","","","","","","","Target: 1,500+ monthly traffic by end of Q3"
